 x, y, z,signal
3,0,12.26,102
3,0,12.34,102
3,0,12.37,103
3,0,12.46,103
3,0,12.8,103
3,0,13.08,104
3,0,13.19,104
3,0,13.26,105
3,0,13.53,105
3,0,13.73,106
3,0,13.88,106
3,0,13.98,106
3,0,14.27,106
3,0,14.45,106
3,0,14.78,110
3,0,14.88,110
3,0,15,111
3,0,14.97,114
3,0,14.64,114
3,0,14.56,114
3,0,14.53,114
3,0,14.35,114
3,0,14.23,114
3,0,14.13,114
3,0,13.88,114
3,0,13.8,114
3,0,13.74,114
3,0,13.44,114
3,0,13.31,114
3,0,12.98,113
3,0,12.92,113
3,0,12.66,112
3,0,12.52,112
3,0,12,111
3,0,11.64,110
3,0,11.4,110
3,0,11.32,108
3,0,11.23,108
3,0,10.95,108
3,0,10.78,106
3,0,10.65,105
3,0,10.47,105
3,0,10.43,104
3,0,10.21,103
3,0,10.11,103
3,0,9.97,103
3,0,9.86,103
3,0,9.78,103
3,0,9.69,103
3,0,9.55,102
3,0,9.52,102
3,0,9.44,102
3,0,9.36,102
3,0,9.12,102
3,0,9.06,102
3,0,9.02,102
3,0,8.81,101
3,0,8.71,101
3,0,8.52,101
3,0,8.24,101
3,0,7.86,101
3,0,7.65,101
3,0,7.41,100
3,0,7.21,99
3,0,7.17,99
3,0,7.14,99
3,0,7.1,99
3,0,7.05,99
3,0,7,99
3,0,6.94,99
3,0,6.88,99
3,0,6.71,99
3,0,6.61,99
3,0,6.58,99
3,0,6.5,99
3,0,6.44,99
3,0,6.17,98
3,0,6.01,98
3,0,5.76,97
3,0,5.64,97
3,0,5.42,97
3,0,4.8,97
3,0,4.49,96
3,0,4.46,96
3,0,4.01,95
3,0,3.75,95
3,0,3.5,95
3,0,3.38,95
3,0,3.16,94
3,0,2.7,93
3,0,2.55,93
3,0,2.37,93
3,0,2.11,91
3,0,1.99,91
3,0,1.9,91
3,0,1.41,91
3,0,1.04,91
3,0,0.85,91
3,0,0.76,90
3,0,0.64,90
3,0,0.54,90
3,0,0.4,90
3,0,0.12,89
4,0,0.13,89
4,0,0.75,88
4,0,0.88,88
4,0,1.1,88
4,0,1.17,88
4,0,1.22,88
4,0,1.29,88
4,0,1.51,89
4,0,1.71,89
4,0,1.89,88
4,0,2.07,88
4,0,2.1,88
4,0,2.25,88
4,0,2.48,88
4,0,2.65,88
4,0,3.05,89
4,0,3.14,89
4,0,3.43,90
4,0,3.92,90
4,0,4.08,90
4,0,4.13,90
4,0,4.21,91
4,0,4.27,91
4,0,4.39,91
4,0,4.61,91
4,0,4.73,91
4,0,4.84,91
4,0,4.91,91
4,0,5.45,92
4,0,5.5,92
4,0,5.61,92
4,0,5.79,92
4,0,5.94,93
4,0,6.09,93
4,0,6.11,93
4,0,6.28,93
4,0,6.38,93
4,0,6.45,93
4,0,6.74,93
4,0,6.83,94
4,0,7.46,94
4,0,8.17,94
4,0,8.25,94
4,0,8.35,95
4,0,8.46,95
4,0,8.57,95
4,0,8.6,95
4,0,8.78,95
4,0,8.85,95
4,0,9.06,96
4,0,9.29,96
4,0,9.35,96
4,0,9.4,96
4,0,9.5,96
4,0,9.55,96
4,0,9.66,96
4,0,9.69,96
4,0,9.99,97
4,0,10.26,97
4,0,10.28,97
4,0,10.71,98
4,0,11.13,98
4,0,11.47,99
4,0,11.58,100
4,0,11.71,100
4,0,12.35,101
4,0,12.68,101
